ID,Qutab Minar,Chhattarpur,Sultanpur,Ghitorni,Arjan Garh,Gurudronacharya,Sikanderpur,MG Road,IFFCO Chowk,Huda City Centre
11543,2:05pm,2:07pm,2:10pm,2:13pm,2:16pm,2:20pm,2:22pm,2:24pm,2:27pm,2:29pm
11544,2:08pm,2:10pm,2:13pm,2:15pm,2:19pm,2:23pm,2:25pm,2:27pm,2:30pm,2:32pm
11545,2:10pm,2:13pm,2:16pm,2:18pm,2:22pm,2:25pm,2:28pm,2:30pm,2:33pm,2:35pm
11546,2:13pm,2:16pm,2:19pm,2:21pm,2:25pm,2:28pm,2:30pm,2:33pm,2:36pm,2:38pm
11547,2:16pm,2:19pm,2:22pm,2:24pm,2:28pm,2:31pm,2:33pm,2:36pm,2:38pm,2:41pm
11548,2:19pm,2:22pm,2:24pm,2:27pm,2:30pm,2:34pm,2:36pm,2:39pm,2:41pm,2:44pm
11549,2:22pm,2:24pm,2:27pm,2:30pm,2:33pm,2:37pm,2:39pm,2:41pm,2:44pm,2:46pm
11550,2:25pm,2:27pm,2:30pm,2:33pm,2:36pm,2:40pm,2:42pm,2:44pm,2:47pm,2:49pm
11551,2:28pm,2:30pm,2:33pm,2:36pm,2:39pm,2:43pm,2:45pm,2:47pm,2:50pm,2:52pm
11552,2:30pm,2:33pm,2:36pm,2:38pm,2:42pm,2:46pm,2:48pm,2:50pm,2:53pm,2:55pm
11553,2:33pm,2:36pm,2:39pm,2:41pm,2:45pm,2:48pm,2:51pm,2:53pm,2:56pm,2:58pm
11554,2:36pm,2:39pm,2:42pm,2:44pm,2:48pm,2:51pm,2:53pm,2:56pm,2:58pm,3:01pm
11555,2:39pm,2:42pm,2:45pm,2:47pm,2:51pm,2:54pm,2:56pm,2:59pm,3:01pm,3:04pm
11556,2:42pm,2:45pm,2:47pm,2:50pm,2:53pm,2:57pm,2:59pm,3:02pm,3:04pm,3:07pm
11557,2:45pm,2:47pm,2:50pm,2:53pm,2:56pm,3:00pm,3:02pm,3:04pm,3:07pm,3:09pm
11558,2:48pm,2:50pm,2:53pm,2:56pm,2:59pm,3:03pm,3:05pm,3:07pm,3:10pm,3:12pm
11559,2:51pm,2:53pm,2:56pm,2:58pm,3:02pm,3:06pm,3:08pm,3:10pm,3:13pm,3:15pm
11560,2:53pm,2:56pm,2:59pm,3:01pm,3:05pm,3:08pm,3:11pm,3:13pm,3:16pm,3:18pm
11561,2:56pm,2:59pm,3:02pm,3:04pm,3:08pm,3:11pm,3:13pm,3:16pm,3:19pm,3:21pm
11562,2:59pm,3:02pm,3:05pm,3:07pm,3:11pm,3:14pm,3:16pm,3:19pm,3:21pm,3:24pm
11563,3:02pm,3:05pm,3:07pm,3:10pm,3:13pm,3:17pm,3:19pm,3:22pm,3:24pm,3:27pm
11564,3:05pm,3:07pm,3:10pm,3:13pm,3:16pm,3:20pm,3:22pm,3:24pm,3:27pm,3:29pm
11565,3:08pm,3:10pm,3:13pm,3:16pm,3:19pm,3:23pm,3:25pm,3:27pm,3:30pm,3:32pm
11566,3:11pm,3:13pm,3:16pm,3:19pm,3:22pm,3:26pm,3:28pm,3:30pm,3:33pm,3:35pm
11567,3:13pm,3:16pm,3:19pm,3:21pm,3:25pm,3:29pm,3:31pm,3:33pm,3:36pm,3:38pm
11568,3:16pm,3:19pm,3:22pm,3:24pm,3:28pm,3:31pm,3:34pm,3:36pm,3:39pm,3:41pm
11569,3:19pm,3:22pm,3:25pm,3:27pm,3:31pm,3:34pm,3:36pm,3:39pm,3:41pm,3:44pm
11570,3:22pm,3:25pm,3:28pm,3:30pm,3:34pm,3:37pm,3:39pm,3:42pm,3:44pm,3:47pm
11571,3:25pm,3:28pm,3:30pm,3:33pm,3:36pm,3:40pm,3:42pm,3:45pm,3:47pm,3:50pm
11572,3:28pm,3:30pm,3:33pm,3:36pm,3:39pm,3:43pm,3:45pm,3:47pm,3:50pm,3:52pm
11573,3:31pm,3:33pm,3:36pm,3:39pm,3:42pm,3:46pm,3:48pm,3:50pm,3:53pm,3:55pm
