ID,Huda City Centre,IFFCO Chowk,MG Road,Sikanderpur,Gurudronacharya,Arjan Garh,Ghitorni,Sultanpur,Chhattarpur,Qutab Minar
2267,1:47pm,1:49pm,1:52pm,1:55pm,1:57pm,2:00pm,2:04pm,2:06pm,2:09pm,2:12pm
2268,1:50pm,1:52pm,1:55pm,1:57pm,2:00pm,2:03pm,2:07pm,2:09pm,2:12pm,2:15pm
2269,1:53pm,1:55pm,1:58pm,2:00pm,2:02pm,2:06pm,2:10pm,2:12pm,2:15pm,2:18pm
2270,1:56pm,1:58pm,2:01pm,2:03pm,2:05pm,2:09pm,2:12pm,2:15pm,2:18pm,2:20pm
2271,1:59pm,2:01pm,2:04pm,2:06pm,2:08pm,2:12pm,2:15pm,2:18pm,2:21pm,2:23pm
2272,2:01pm,2:04pm,2:06pm,2:09pm,2:11pm,2:15pm,2:18pm,2:21pm,2:23pm,2:26pm
2273,2:04pm,2:07pm,2:09pm,2:12pm,2:14pm,2:17pm,2:21pm,2:23pm,2:26pm,2:29pm
2274,2:07pm,2:10pm,2:12pm,2:15pm,2:17pm,2:20pm,2:24pm,2:26pm,2:29pm,2:32pm
2275,2:10pm,2:12pm,2:15pm,2:18pm,2:20pm,2:23pm,2:27pm,2:29pm,2:32pm,2:35pm
2276,2:13pm,2:15pm,2:18pm,2:20pm,2:22pm,2:26pm,2:30pm,2:32pm,2:35pm,2:38pm
2277,2:16pm,2:18pm,2:21pm,2:23pm,2:25pm,2:29pm,2:33pm,2:35pm,2:38pm,2:40pm
2278,2:19pm,2:21pm,2:24pm,2:26pm,2:28pm,2:32pm,2:35pm,2:38pm,2:41pm,2:43pm
2279,2:22pm,2:24pm,2:27pm,2:29pm,2:31pm,2:35pm,2:38pm,2:41pm,2:44pm,2:46pm
2280,2:24pm,2:27pm,2:29pm,2:32pm,2:34pm,2:38pm,2:41pm,2:44pm,2:46pm,2:49pm
2281,2:27pm,2:30pm,2:32pm,2:35pm,2:37pm,2:40pm,2:44pm,2:46pm,2:49pm,2:52pm
2282,2:30pm,2:32pm,2:35pm,2:38pm,2:40pm,2:43pm,2:47pm,2:49pm,2:52pm,2:55pm
2283,2:33pm,2:35pm,2:38pm,2:40pm,2:43pm,2:46pm,2:50pm,2:52pm,2:55pm,2:58pm
2284,2:36pm,2:38pm,2:41pm,2:43pm,2:45pm,2:49pm,2:53pm,2:55pm,2:58pm,3:01pm
2285,2:39pm,2:41pm,2:44pm,2:46pm,2:48pm,2:52pm,2:55pm,2:58pm,3:01pm,3:03pm
2286,2:42pm,2:44pm,2:47pm,2:49pm,2:51pm,2:55pm,2:58pm,3:01pm,3:04pm,3:06pm
2287,2:44pm,2:47pm,2:49pm,2:52pm,2:54pm,2:58pm,3:01pm,3:04pm,3:06pm,3:09pm
2288,2:47pm,2:50pm,2:52pm,2:55pm,2:57pm,3:00pm,3:04pm,3:06pm,3:09pm,3:12pm
2289,2:50pm,2:53pm,2:55pm,2:58pm,3:00pm,3:03pm,3:07pm,3:09pm,3:12pm,3:15pm
2290,2:53pm,2:55pm,2:58pm,3:01pm,3:03pm,3:06pm,3:10pm,3:12pm,3:15pm,3:18pm
2291,2:56pm,2:58pm,3:01pm,3:03pm,3:05pm,3:09pm,3:13pm,3:15pm,3:18pm,3:21pm
2292,2:59pm,3:01pm,3:04pm,3:06pm,3:08pm,3:12pm,3:16pm,3:18pm,3:21pm,3:23pm
2293,3:02pm,3:04pm,3:07pm,3:09pm,3:11pm,3:15pm,3:18pm,3:21pm,3:24pm,3:26pm
2294,3:05pm,3:07pm,3:10pm,3:12pm,3:14pm,3:18pm,3:21pm,3:24pm,3:27pm,3:29pm
2295,3:07pm,3:10pm,3:12pm,3:15pm,3:17pm,3:21pm,3:24pm,3:27pm,3:29pm,3:32pm
2296,3:10pm,3:13pm,3:15pm,3:18pm,3:20pm,3:23pm,3:27pm,3:29pm,3:32pm,3:35pm
2297,3:13pm,3:15pm,3:18pm,3:21pm,3:23pm,3:26pm,3:30pm,3:32pm,3:35pm,3:38pm
2298,3:16pm,3:18pm,3:21pm,3:23pm,3:26pm,3:29pm,3:33pm,3:35pm,3:38pm,3:41pm
2299,3:19pm,3:21pm,3:24pm,3:26pm,3:28pm,3:32pm,3:36pm,3:38pm,3:41pm,3:44pm
